date,average,ticker,industry
1983-11,1.094,VZ,Communication Services
1983-12,1.063,VZ,Communication Services
1984-01,1.15,VZ,Communication Services
1984-02,1.148,VZ,Communication Services
1984-03,1.144,VZ,Communication Services
1984-04,1.112,VZ,Communication Services
1984-05,1.14,VZ,Communication Services
1984-06,1.146,VZ,Communication Services
1984-07,1.198,VZ,Communication Services
1984-08,1.241,VZ,Communication Services
1984-09,1.281,VZ,Communication Services
1984-10,1.315,VZ,Communication Services
1984-11,1.335,VZ,Communication Services
1984-12,1.367,VZ,Communication Services
1985-01,1.39,VZ,Communication Services
1985-02,1.451,VZ,Communication Services
1985-03,1.461,VZ,Communication Services
1985-04,1.515,VZ,Communication Services
1985-05,1.562,VZ,Communication Services
1985-06,1.634,VZ,Communication Services
1985-07,1.651,VZ,Communication Services
1985-08,1.596,VZ,Communication Services
1985-09,1.604,VZ,Communication Services
1985-10,1.61,VZ,Communication Services
1985-11,1.76,VZ,Communication Services
1985-12,1.884,VZ,Communication Services
1986-01,1.923,VZ,Communication Services
1986-02,2.068,VZ,Communication Services
1986-03,2.259,VZ,Communication Services
1986-04,2.346,VZ,Communication Services
1986-05,2.371,VZ,Communication Services
1986-06,2.588,VZ,Communication Services
1986-07,2.692,VZ,Communication Services
1986-08,2.791,VZ,Communication Services
1986-09,2.605,VZ,Communication Services
1986-10,2.509,VZ,Communication Services
1986-11,2.606,VZ,Communication Services
1986-12,2.743,VZ,Communication Services
1987-01,2.809,VZ,Communication Services
1987-02,2.835,VZ,Communication Services
1987-03,2.758,VZ,Communication Services
1987-04,2.576,VZ,Communication Services
1987-05,2.566,VZ,Communication Services
1987-06,2.742,VZ,Communication Services
1987-07,2.68,VZ,Communication Services
1987-08,2.955,VZ,Communication Services
1987-09,3.031,VZ,Communication Services
1987-10,3.007,VZ,Communication Services
1987-11,2.832,VZ,Communication Services
1987-12,2.707,VZ,Communication Services
1988-01,2.791,VZ,Communication Services
1988-02,2.949,VZ,Communication Services
1988-03,2.863,VZ,Communication Services
1988-04,2.8,VZ,Communication Services
1988-05,2.805,VZ,Communication Services
1988-06,3.027,VZ,Communication Services
1988-07,2.965,VZ,Communication Services
1988-08,2.95,VZ,Communication Services
1988-09,3.009,VZ,Communication Services
1988-10,3.124,VZ,Communication Services
1988-11,3.056,VZ,Communication Services
1988-12,3.109,VZ,Communication Services
1989-01,3.126,VZ,Communication Services
1989-02,3.244,VZ,Communication Services
1989-03,3.256,VZ,Communication Services
1989-04,3.448,VZ,Communication Services
1989-05,3.721,VZ,Communication Services
1989-06,3.917,VZ,Communication Services
1989-07,4.067,VZ,Communication Services
1989-08,4.337,VZ,Communication Services
1989-09,4.384,VZ,Communication Services
1989-10,4.573,VZ,Communication Services
1989-11,4.639,VZ,Communication Services
1989-12,4.909,VZ,Communication Services
1990-01,4.596,VZ,Communication Services
1990-02,4.178,VZ,Communication Services
1990-03,4.21,VZ,Communication Services
1990-04,4.395,VZ,Communication Services
1990-05,4.726,VZ,Communication Services
1990-06,4.707,VZ,Communication Services
1990-07,4.439,VZ,Communication Services
1990-08,4.203,VZ,Communication Services
1990-09,4.168,VZ,Communication Services
1990-10,4.687,VZ,Communication Services
1990-11,5.019,VZ,Communication Services
1990-12,5.233,VZ,Communication Services
1991-01,4.768,VZ,Communication Services
1991-02,4.766,VZ,Communication Services
1991-03,4.682,VZ,Communication Services
1991-04,4.814,VZ,Communication Services
1991-05,4.576,VZ,Communication Services
1991-06,4.436,VZ,Communication Services
1991-07,4.666,VZ,Communication Services
1991-08,4.715,VZ,Communication Services
1991-09,4.706,VZ,Communication Services
1991-10,4.474,VZ,Communication Services
1991-11,4.571,VZ,Communication Services
1991-12,4.684,VZ,Communication Services
1992-01,4.722,VZ,Communication Services
1992-02,4.507,VZ,Communication Services
1992-03,4.266,VZ,Communication Services
1992-04,4.337,VZ,Communication Services
1992-05,4.499,VZ,Communication Services
1992-06,4.521,VZ,Communication Services
1992-07,4.852,VZ,Communication Services
1992-08,5.046,VZ,Communication Services
1992-09,5.053,VZ,Communication Services
1992-10,4.978,VZ,Communication Services
1992-11,4.904,VZ,Communication Services
1992-12,5.316,VZ,Communication Services
1993-01,5.53,VZ,Communication Services
1993-02,5.793,VZ,Communication Services
1993-03,5.807,VZ,Communication Services
1993-04,5.829,VZ,Communication Services
1993-05,5.74,VZ,Communication Services
1993-06,6.134,VZ,Communication Services
1993-07,6.36,VZ,Communication Services
1993-08,6.441,VZ,Communication Services
1993-09,6.965,VZ,Communication Services
1993-10,6.897,VZ,Communication Services
1993-11,6.721,VZ,Communication Services
1993-12,6.647,VZ,Communication Services
1994-01,6.216,VZ,Communication Services
1994-02,6.014,VZ,Communication Services
1994-03,5.866,VZ,Communication Services
1994-04,5.799,VZ,Communication Services
1994-05,5.853,VZ,Communication Services
1994-06,6.198,VZ,Communication Services
1994-07,6.299,VZ,Communication Services
1994-08,6.402,VZ,Communication Services
1994-09,6.105,VZ,Communication Services
1994-10,5.915,VZ,Communication Services
1994-11,5.875,VZ,Communication Services
1994-12,5.813,VZ,Communication Services
1995-01,5.946,VZ,Communication Services
1995-02,6.242,VZ,Communication Services
1995-03,6.2,VZ,Communication Services
1995-04,6.37,VZ,Communication Services
1995-05,6.507,VZ,Communication Services
1995-06,6.644,VZ,Communication Services
1995-07,6.84,VZ,Communication Services
1995-08,7.011,VZ,Communication Services
1995-09,7.21,VZ,Communication Services
1995-10,7.547,VZ,Communication Services
1995-11,7.73,VZ,Communication Services
1995-12,8.031,VZ,Communication Services
1996-01,8.397,VZ,Communication Services
1996-02,8.505,VZ,Communication Services
1996-03,7.812,VZ,Communication Services
1996-04,7.806,VZ,Communication Services
1996-05,7.872,VZ,Communication Services
1996-06,7.654,VZ,Communication Services
1996-07,7.527,VZ,Communication Services
1996-08,7.431,VZ,Communication Services
1996-09,7.237,VZ,Communication Services
1996-10,7.641,VZ,Communication Services
1996-11,7.806,VZ,Communication Services
1996-12,7.885,VZ,Communication Services
1997-01,8.465,VZ,Communication Services
1997-02,8.925,VZ,Communication Services
1997-03,8.276,VZ,Communication Services
1997-04,7.848,VZ,Communication Services
1997-05,8.919,VZ,Communication Services
1997-06,9.652,VZ,Communication Services
1997-07,9.383,VZ,Communication Services
1997-08,9.635,VZ,Communication Services
1997-09,10.123,VZ,Communication Services
1997-10,10.644,VZ,Communication Services
1997-11,11.017,VZ,Communication Services
1997-12,11.761,VZ,Communication Services
1998-01,11.866,VZ,Communication Services
1998-02,11.91,VZ,Communication Services
1998-03,12.996,VZ,Communication Services
1998-04,12.759,VZ,Communication Services
1998-05,12.426,VZ,Communication Services
1998-06,12.612,VZ,Communication Services
1998-07,12.259,VZ,Communication Services
1998-08,11.582,VZ,Communication Services
1998-09,12.082,VZ,Communication Services
1998-10,13.728,VZ,Communication Services
1998-11,15.071,VZ,Communication Services
1998-12,15.254,VZ,Communication Services
1999-01,15.23,VZ,Communication Services
1999-02,15.919,VZ,Communication Services
1999-03,14.646,VZ,Communication Services
1999-04,15.47,VZ,Communication Services
1999-05,15.548,VZ,Communication Services
1999-06,16.079,VZ,Communication Services
1999-07,17.721,VZ,Communication Services
1999-08,17.499,VZ,Communication Services
1999-09,17.777,VZ,Communication Services
1999-10,17.973,VZ,Communication Services
1999-11,17.617,VZ,Communication Services
1999-12,17.744,VZ,Communication Services
