date,average,ticker,industry
1962-01,0.237,PG,Consumer Staples
1962-02,0.228,PG,Consumer Staples
1962-03,0.231,PG,Consumer Staples
1962-04,0.235,PG,Consumer Staples
1962-05,0.217,PG,Consumer Staples
1962-06,0.181,PG,Consumer Staples
1962-07,0.187,PG,Consumer Staples
1962-08,0.195,PG,Consumer Staples
1962-09,0.185,PG,Consumer Staples
1962-10,0.176,PG,Consumer Staples
1962-11,0.194,PG,Consumer Staples
1962-12,0.206,PG,Consumer Staples
1963-01,0.208,PG,Consumer Staples
1963-02,0.209,PG,Consumer Staples
1963-03,0.206,PG,Consumer Staples
1963-04,0.221,PG,Consumer Staples
1963-05,0.223,PG,Consumer Staples
1963-06,0.216,PG,Consumer Staples
1963-07,0.217,PG,Consumer Staples
1963-08,0.223,PG,Consumer Staples
1963-09,0.228,PG,Consumer Staples
1963-10,0.23,PG,Consumer Staples
1963-11,0.228,PG,Consumer Staples
1963-12,0.231,PG,Consumer Staples
1964-01,0.235,PG,Consumer Staples
1964-02,0.238,PG,Consumer Staples
1964-03,0.245,PG,Consumer Staples
1964-04,0.243,PG,Consumer Staples
1964-05,0.24,PG,Consumer Staples
1964-06,0.24,PG,Consumer Staples
1964-07,0.249,PG,Consumer Staples
1964-08,0.247,PG,Consumer Staples
1964-09,0.246,PG,Consumer Staples
1964-10,0.249,PG,Consumer Staples
1964-11,0.241,PG,Consumer Staples
1964-12,0.24,PG,Consumer Staples
1965-01,0.239,PG,Consumer Staples
1965-02,0.228,PG,Consumer Staples
1965-03,0.221,PG,Consumer Staples
1965-04,0.216,PG,Consumer Staples
1965-05,0.223,PG,Consumer Staples
1965-06,0.216,PG,Consumer Staples
1965-07,0.22,PG,Consumer Staples
1965-08,0.217,PG,Consumer Staples
1965-09,0.215,PG,Consumer Staples
1965-10,0.214,PG,Consumer Staples
1965-11,0.214,PG,Consumer Staples
1965-12,0.212,PG,Consumer Staples
1966-01,0.209,PG,Consumer Staples
1966-02,0.206,PG,Consumer Staples
1966-03,0.196,PG,Consumer Staples
1966-04,0.195,PG,Consumer Staples
1966-05,0.193,PG,Consumer Staples
1966-06,0.2,PG,Consumer Staples
1966-07,0.201,PG,Consumer Staples
1966-08,0.209,PG,Consumer Staples
1966-09,0.221,PG,Consumer Staples
1966-10,0.231,PG,Consumer Staples
1966-11,0.231,PG,Consumer Staples
1966-12,0.231,PG,Consumer Staples
1967-01,0.235,PG,Consumer Staples
1967-02,0.251,PG,Consumer Staples
1967-03,0.257,PG,Consumer Staples
1967-04,0.264,PG,Consumer Staples
1967-05,0.276,PG,Consumer Staples
1967-06,0.279,PG,Consumer Staples
1967-07,0.293,PG,Consumer Staples
1967-08,0.308,PG,Consumer Staples
1967-09,0.303,PG,Consumer Staples
1967-10,0.285,PG,Consumer Staples
1967-11,0.273,PG,Consumer Staples
1967-12,0.29,PG,Consumer Staples
1968-01,0.287,PG,Consumer Staples
1968-02,0.274,PG,Consumer Staples
1968-03,0.275,PG,Consumer Staples
1968-04,0.297,PG,Consumer Staples
1968-05,0.311,PG,Consumer Staples
1968-06,0.307,PG,Consumer Staples
1968-07,0.307,PG,Consumer Staples
1968-08,0.302,PG,Consumer Staples
1968-09,0.3,PG,Consumer Staples
1968-10,0.292,PG,Consumer Staples
1968-11,0.3,PG,Consumer Staples
1968-12,0.303,PG,Consumer Staples
1969-01,0.285,PG,Consumer Staples
1969-02,0.278,PG,Consumer Staples
1969-03,0.281,PG,Consumer Staples
1969-04,0.287,PG,Consumer Staples
1969-05,0.306,PG,Consumer Staples
1969-06,0.3,PG,Consumer Staples
1969-07,0.307,PG,Consumer Staples
1969-08,0.312,PG,Consumer Staples
1969-09,0.327,PG,Consumer Staples
1969-10,0.347,PG,Consumer Staples
1969-11,0.371,PG,Consumer Staples
1969-12,0.362,PG,Consumer Staples
1970-01,0.381,PG,Consumer Staples
1970-02,0.38,PG,Consumer Staples
1970-03,0.37,PG,Consumer Staples
1970-04,0.362,PG,Consumer Staples
1970-05,0.317,PG,Consumer Staples
1970-06,0.331,PG,Consumer Staples
1970-07,0.355,PG,Consumer Staples
1970-08,0.356,PG,Consumer Staples
1970-09,0.366,PG,Consumer Staples
1970-10,0.375,PG,Consumer Staples
1970-11,0.399,PG,Consumer Staples
1970-12,0.41,PG,Consumer Staples
1971-01,0.401,PG,Consumer Staples
1971-02,0.408,PG,Consumer Staples
1971-03,0.424,PG,Consumer Staples
1971-04,0.428,PG,Consumer Staples
1971-05,0.422,PG,Consumer Staples
1971-06,0.447,PG,Consumer Staples
1971-07,0.484,PG,Consumer Staples
1971-08,0.487,PG,Consumer Staples
1971-09,0.513,PG,Consumer Staples
1971-10,0.505,PG,Consumer Staples
1971-11,0.522,PG,Consumer Staples
1971-12,0.547,PG,Consumer Staples
1972-01,0.557,PG,Consumer Staples
1972-02,0.61,PG,Consumer Staples
1972-03,0.618,PG,Consumer Staples
1972-04,0.647,PG,Consumer Staples
