date,average,ticker,industry
2007-04,46.334,TMUS,Communication Services
2007-05,52.934,TMUS,Communication Services
2007-06,55.768,TMUS,Communication Services
2007-07,59.983,TMUS,Communication Services
2007-08,47.065,TMUS,Communication Services
2007-09,43.55,TMUS,Communication Services
2007-10,38.28,TMUS,Communication Services
2007-11,29.226,TMUS,Communication Services
2007-12,29.779,TMUS,Communication Services
2008-01,28.379,TMUS,Communication Services
2008-02,26.5,TMUS,Communication Services
2008-03,26.218,TMUS,Communication Services
2008-04,31.292,TMUS,Communication Services
2008-05,33.433,TMUS,Communication Services
2008-06,31.84,TMUS,Communication Services
2008-07,25.944,TMUS,Communication Services
2008-08,28.02,TMUS,Communication Services
2008-09,26.353,TMUS,Communication Services
2008-10,22.934,TMUS,Communication Services
2008-11,20.576,TMUS,Communication Services
2008-12,24.259,TMUS,Communication Services
2009-01,24.146,TMUS,Communication Services
2009-02,22.583,TMUS,Communication Services
2009-03,26.266,TMUS,Communication Services
2009-04,27.561,TMUS,Communication Services
2009-05,28.093,TMUS,Communication Services
2009-06,23.817,TMUS,Communication Services
2009-07,20.536,TMUS,Communication Services
2009-08,14.731,TMUS,Communication Services
2009-09,15.067,TMUS,Communication Services
2009-10,12.029,TMUS,Communication Services
2009-11,10.14,TMUS,Communication Services
2009-12,11.741,TMUS,Communication Services
2010-01,10.6,TMUS,Communication Services
2010-02,9.915,TMUS,Communication Services
2010-03,11.015,TMUS,Communication Services
2010-04,12.286,TMUS,Communication Services
2010-05,13.725,TMUS,Communication Services
2010-06,14.147,TMUS,Communication Services
2010-07,14.611,TMUS,Communication Services
2010-08,14.567,TMUS,Communication Services
2010-09,16.057,TMUS,Communication Services
2010-10,17.449,TMUS,Communication Services
2010-11,19.269,TMUS,Communication Services
2010-12,20.362,TMUS,Communication Services
2011-01,21.449,TMUS,Communication Services
2011-02,21.55,TMUS,Communication Services
2011-03,24.793,TMUS,Communication Services
2011-04,27.122,TMUS,Communication Services
2011-05,29.163,TMUS,Communication Services
2011-06,27.388,TMUS,Communication Services
2011-07,27.811,TMUS,Communication Services
2011-08,17.311,TMUS,Communication Services
2011-09,16.121,TMUS,Communication Services
2011-10,14.354,TMUS,Communication Services
2011-11,13.582,TMUS,Communication Services
2011-12,13.643,TMUS,Communication Services
2012-01,14.037,TMUS,Communication Services
2012-02,16.653,TMUS,Communication Services
2012-03,16.057,TMUS,Communication Services
2012-04,13.42,TMUS,Communication Services
2012-05,10.87,TMUS,Communication Services
2012-06,9.718,TMUS,Communication Services
2012-07,11.227,TMUS,Communication Services
2012-08,15.293,TMUS,Communication Services
2012-09,17.585,TMUS,Communication Services
2012-10,18.876,TMUS,Communication Services
