date,average,ticker,industry
1972-06,0.39,PEP,Consumer Staples
1972-07,0.392,PEP,Consumer Staples
1972-08,0.403,PEP,Consumer Staples
1972-09,0.383,PEP,Consumer Staples
1972-10,0.378,PEP,Consumer Staples
1972-11,0.4,PEP,Consumer Staples
1972-12,0.404,PEP,Consumer Staples
1973-01,0.396,PEP,Consumer Staples
1973-02,0.386,PEP,Consumer Staples
1973-03,0.396,PEP,Consumer Staples
1973-04,0.387,PEP,Consumer Staples
1973-05,0.386,PEP,Consumer Staples
1973-06,0.379,PEP,Consumer Staples
1973-07,0.383,PEP,Consumer Staples
1973-08,0.382,PEP,Consumer Staples
1973-09,0.389,PEP,Consumer Staples
1973-10,0.405,PEP,Consumer Staples
1973-11,0.367,PEP,Consumer Staples
1973-12,0.317,PEP,Consumer Staples
1974-01,0.319,PEP,Consumer Staples
1974-02,0.29,PEP,Consumer Staples
1974-03,0.3,PEP,Consumer Staples
1974-04,0.28,PEP,Consumer Staples
1974-05,0.262,PEP,Consumer Staples
1974-06,0.293,PEP,Consumer Staples
1974-07,0.261,PEP,Consumer Staples
1974-08,0.211,PEP,Consumer Staples
1974-09,0.19,PEP,Consumer Staples
1974-10,0.18,PEP,Consumer Staples
1974-11,0.196,PEP,Consumer Staples
1974-12,0.187,PEP,Consumer Staples
1975-01,0.222,PEP,Consumer Staples
1975-02,0.263,PEP,Consumer Staples
1975-03,0.28,PEP,Consumer Staples
1975-04,0.301,PEP,Consumer Staples
1975-05,0.327,PEP,Consumer Staples
1975-06,0.329,PEP,Consumer Staples
1975-07,0.316,PEP,Consumer Staples
1975-08,0.291,PEP,Consumer Staples
1975-09,0.28,PEP,Consumer Staples
1975-10,0.331,PEP,Consumer Staples
1975-11,0.351,PEP,Consumer Staples
1975-12,0.346,PEP,Consumer Staples
1976-01,0.365,PEP,Consumer Staples
1976-02,0.362,PEP,Consumer Staples
1976-03,0.359,PEP,Consumer Staples
1976-04,0.368,PEP,Consumer Staples
1976-05,0.369,PEP,Consumer Staples
1976-06,0.364,PEP,Consumer Staples
1976-07,0.391,PEP,Consumer Staples
1976-08,0.415,PEP,Consumer Staples
1976-09,0.428,PEP,Consumer Staples
1976-10,0.418,PEP,Consumer Staples
1976-11,0.399,PEP,Consumer Staples
1976-12,0.401,PEP,Consumer Staples
1977-01,0.386,PEP,Consumer Staples
1977-02,0.369,PEP,Consumer Staples
1977-03,0.37,PEP,Consumer Staples
1977-04,0.368,PEP,Consumer Staples
1977-05,0.363,PEP,Consumer Staples
1977-06,0.363,PEP,Consumer Staples
1977-07,0.372,PEP,Consumer Staples
1977-08,0.395,PEP,Consumer Staples
1977-09,0.39,PEP,Consumer Staples
