date,average,ticker,industry
1983-11,0.267,T,Communication Services
1983-12,0.259,T,Communication Services
1984-01,0.28,T,Communication Services
1984-02,0.268,T,Communication Services
1984-03,0.262,T,Communication Services
1984-04,0.258,T,Communication Services
1984-05,0.26,T,Communication Services
1984-06,0.262,T,Communication Services
1984-07,0.275,T,Communication Services
1984-08,0.297,T,Communication Services
1984-09,0.303,T,Communication Services
1984-10,0.316,T,Communication Services
1984-11,0.319,T,Communication Services
1984-12,0.331,T,Communication Services
1985-01,0.345,T,Communication Services
1985-02,0.366,T,Communication Services
1985-03,0.367,T,Communication Services
1985-04,0.383,T,Communication Services
1985-05,0.395,T,Communication Services
1985-06,0.413,T,Communication Services
1985-07,0.438,T,Communication Services
1985-08,0.425,T,Communication Services
1985-09,0.416,T,Communication Services
1985-10,0.414,T,Communication Services
1985-11,0.428,T,Communication Services
1985-12,0.446,T,Communication Services
1986-01,0.451,T,Communication Services
1986-02,0.475,T,Communication Services
1986-03,0.505,T,Communication Services
1986-04,0.514,T,Communication Services
1986-05,0.531,T,Communication Services
1986-06,0.564,T,Communication Services
1986-07,0.589,T,Communication Services
1986-08,0.629,T,Communication Services
1986-09,0.619,T,Communication Services
1986-10,0.622,T,Communication Services
1986-11,0.632,T,Communication Services
1986-12,0.664,T,Communication Services
1987-01,0.694,T,Communication Services
1987-02,0.683,T,Communication Services
1987-03,0.694,T,Communication Services
1987-04,0.655,T,Communication Services
1987-05,0.652,T,Communication Services
1987-06,0.702,T,Communication Services
1987-07,0.682,T,Communication Services
1987-08,0.754,T,Communication Services
1987-09,0.751,T,Communication Services
1987-10,0.753,T,Communication Services
1987-11,0.682,T,Communication Services
1987-12,0.631,T,Communication Services
1988-01,0.678,T,Communication Services
1988-02,0.714,T,Communication Services
1988-03,0.706,T,Communication Services
1988-04,0.694,T,Communication Services
1988-05,0.689,T,Communication Services
1988-06,0.753,T,Communication Services
1988-07,0.751,T,Communication Services
1988-08,0.741,T,Communication Services
1988-09,0.778,T,Communication Services
1988-10,0.827,T,Communication Services
1988-11,0.817,T,Communication Services
1988-12,0.836,T,Communication Services
1989-01,0.857,T,Communication Services
1989-02,0.899,T,Communication Services
1989-03,0.926,T,Communication Services
1989-04,0.962,T,Communication Services
1989-05,1.061,T,Communication Services
1989-06,1.095,T,Communication Services
1989-07,1.153,T,Communication Services
1989-08,1.181,T,Communication Services
1989-09,1.173,T,Communication Services
1989-10,1.239,T,Communication Services
1989-11,1.191,T,Communication Services
1989-12,1.301,T,Communication Services
1990-01,1.248,T,Communication Services
1990-02,1.182,T,Communication Services
1990-03,1.24,T,Communication Services
1990-04,1.262,T,Communication Services
1990-05,1.263,T,Communication Services
1990-06,1.248,T,Communication Services
1990-07,1.212,T,Communication Services
1990-08,1.163,T,Communication Services
1990-09,1.115,T,Communication Services
1990-10,1.24,T,Communication Services
1990-11,1.25,T,Communication Services
1990-12,1.302,T,Communication Services
1991-01,1.239,T,Communication Services
1991-02,1.292,T,Communication Services
1991-03,1.284,T,Communication Services
1991-04,1.283,T,Communication Services
1991-05,1.221,T,Communication Services
1991-06,1.223,T,Communication Services
1991-07,1.303,T,Communication Services
1991-08,1.323,T,Communication Services
1991-09,1.367,T,Communication Services
1991-10,1.399,T,Communication Services
1991-11,1.468,T,Communication Services
1991-12,1.506,T,Communication Services
1992-01,1.572,T,Communication Services
